Urban area (locality)	Municipality	Population	Land area (hectares)	Density (inh./km²)	Code
Åselstad	Norrköping Municipality	475	50.23	945.65	1326
Åsen	Älvdalen Municipality	246	103.27	238.21	6892
Åsenhöga	Gnosjö Municipality	210	37.24	563.91	1738
Åsensbruk	Mellerud Municipality	522	78.30	666.67	5144
Åshammar	Sandviken Municipality	727	170.50	426.39	7380
Åsljunga	Örkelljunga Municipality	659	107.85	611.03	3188
Åstol	Tjörn Municipality	210	14.80	1418.92	4624
Åstorp	Åstorp Municipality Ängelholm Municipality	9488	712.32	1331.99	3192
Återvall	Värmdö Municipality	206	35.26	584.23	410
Åtorp	Degerfors Municipality	212	28.18	752.31	6178
Åtvidaberg	Åtvidaberg Municipality	6859	542.03	1265.43	1328
Älandsbro	Härnösand Municipality	832	155.82	533.95	7740
Älgarås	Töreboda Municipality	417	97.04	429.72	5536
Älghult	Uppvidinge Municipality	446	93.55	476.75	2040
Älmhult	Älmhult Municipality	8955	878.26	1019.63	2048
Älmsta	Norrtälje Municipality	1097	120.27	912.11	412
Älta	Nacka Municipality	9989	331.75	3011.00	416
Älvdalen	Älvdalen Municipality	1810	301.91	599.52	6896
Älvkarleby	Älvkarleby Municipality	1647	269.98	610.05	664
Älvnäs	Ekerö Municipality	601	54.37	1105.39	414
Älvsbyn	Älvsbyn Municipality	4967	635.28	781.86	8932
Älvsered	Falkenberg Municipality	433	98.50	439.59	4212
Älvängen	Ale Municipality	4196	296.20	1416.61	5152
Äng	Nässjö Municipality	277	43.98	629.83	1740
Änge	Krokom Municipality	314	55.78	562.93	8040
Ängelholm	Ängelholm Municipality	23240	1283.34	1810.90	3196
Ängsholmen	Eskilstuna Municipality	222	58.68	378.32	918
Ängsvik	Värmdö Municipality	403	19.06	2114.38	418
Äppelbo	Vansbro Municipality	258	103.22	249.95	6900
Ärla	Eskilstuna Municipality	1270	140.48	904.04	920
Äsköping	Katrineholm Municipality	342	45.84	746.07	924
Äspered	Borås Municipality	287	42.94	668.37	5156
Äsperöd	Sjöbo Municipality	222	27.18	816.78	3816
Ätran	Falkenberg Municipality	417	67.58	617.05	4216
Öbonäs	Norrköping Municipality	457	22.22	2056.71	1330
Öckerö	Öckerö Municipality	3488	242.42	1438.83	4628
Ödeborg	Färgelanda Municipality	598	74.30	804.85	5160
Ödeshög	Ödeshög Municipality	2572	241.05	1067.00	1332
Ödsmål	Stenungsund Municipality	608	85.40	711.94	4630
Ödåkra	Helsingborg Municipality	4920	304.60	1615.23	3820
Öggestorp	Jönköping Municipality	212	30.83	687.64	1742
Öjersjö	Partille Municipality	3543	193.41	1831.86	4631
Ölmanäs	Kungsbacka Municipality	886	94.35	939.06	4228
Ölmbrotorp	Örebro Municipality	548	65.43	837.54	6184
Ölme	Kristinehamn Municipality	224	30.91	724.68	5888
Ölmstad	Jönköping Municipality	296	43.09	686.93	1448
Ölsta	Ekerö Municipality	267	76.09	350.90	424
Önneköp	Hörby Municipality	206	27.13	759.31	3834
Önnestad	Kristianstad Municipality	1378	176.89	779.02	3200
Örbyhus	Tierp Municipality	1984	158.02	1255.54	672
Örebro	Örebro Municipality	107038	4927.17	2172.40	6188
Öregrund	Östhammar Municipality	1555	244.37	636.33	676
Örkelljunga	Örkelljunga Municipality	4818	564.37	853.70	3208
Örnsköldsvik	Örnsköldsvik Municipality	28991	2440.24	1188.04	7744
Örserum	Jönköping Municipality	322	45.18	712.70	1748
Örsjö	Nybro Municipality	369	72.97	505.69	2484
Örslösa	Lidköping Municipality	307	40.78	752.82	5890
Örsundsbro	Enköping Municipality	1813	164.68	1100.92	680
Örtagården	Västerås Municipality	460	34.71	1325.27	6382
Örtofta	Eslöv Municipality	202	50.42	400.63	3828
Örviken	Skellefteå Municipality	395	98.76	399.96	8408
Ösmo	Nynäshamn Municipality	3911	219.37	1782.83	420
Östadkulle	Vårgårda Municipality	245	28.21	868.49	5162
Östansjö	Hallsberg Municipality	868	139.35	622.89	6192
Östavall	Ånge Municipality	222	90.02	246.61	7748
Österbybruk	Östhammar Municipality	2272	251.19	904.49	684
Österbymo	Ydre Municipality	834	125.58	664.12	1336
Österforse	Sollefteå Municipality	204	89.73	227.35	7752
Österfärnebo	Sandviken Municipality	483	116.33	415.20	7384
Österhagen och Bergliden	Upplands-Bro Municipality	213	22.14	962.06	426
Österslöv	Kristianstad Municipality	414	50.66	817.21	3216
Österstad	Motala Municipality	318	35.61	893.01	1340
Östersund	Östersund Municipality Krokom Municipality	44327	2727.55	1625.16	8044
Östervåla	Heby Municipality	1595	182.63	873.35	6384
Östhammar	Östhammar Municipality	4534	376.42	1204.51	688
Östhamra	Norrtälje Municipality	255	77.72	328.10	422
Östmark	Torsby Municipality	216	105.45	204.84	5892
Östnor	Mora Municipality	534	125.04	427.06	6912
Östorp och Ådran	Huddinge Municipality Haninge Municipality	244	107.66	226.64	406
Östra Bispgården	Ragunda Municipality	279	147.55	189.09	7806
Östra Frölunda	Svenljunga Municipality	309	49.01	630.48	5164
Östra Grevie	Vellinge Municipality	598	44.47	1344.73	3832
Östra Husby	Norrköping Municipality	792	82.90	955.37	1344
Östra Kallfors	Södertälje Municipality	386	34.50	1118.84	428
Östra Karup	Båstad Municipality	594	85.21	697.10	3220
Östra Ljungby	Klippan Municipality	935	100.05	934.53	3224
Östra Ryd	Söderköping Municipality	457	76.29	599.03	1348
Östra Sönnarslöv	Kristianstad Municipality	294	68.18	431.21	3228
Östra Tommarp	Simrishamn Municipality	284	49.42	574.67	3232
Östra Ånneröd	Strömstad Municipality	225	10.87	2069.92	4622
Östraby	Hörby Municipality	200	26.92	742.94	3836
Överboda	Umeå Municipality	218	51.00	427.45	8412
Överhörnäs	Örnsköldsvik Municipality	603	238.74	252.58	7756
Överkalix	Överkalix Municipality	975	106.06	919.29	8940
Överlida	Svenljunga Municipality	525	90.47	580.30	5168
Övertorneå	Övertorneå Municipality	1917	268.68	713.49	8944
Överum	Västervik Municipality	1203	191.88	626.95	2488
Övre Soppero	Kiruna Municipality	201	132.71	151.46	8948
Övre Svartlå	Boden Municipality	201	44.81	448.56	8872
Öxabäck	Mark Municipality	300	41.98	714.63	5172
